age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18.0,Private,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,20.0,<=50K
17.0,Private,8.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,20.0,<=50K
25.0,Local-gov,7.677211672769296,Never-married,Handlers-cleaners,Other-relative,Black,Male,0.0,0.0,40.0,<=50K
6.612593569520593,Private,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,30.0,<=50K
74.57053047519634,Private,9.0,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0.0,0.0,56.0,<=50K
33.0,Private,13.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,58.539078130600956,<=50K
38.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,4406.521437180612,0.0,50.35571619995287,<=50K
21.0,Private,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,<=50K
43.0,Private,12.0,Divorced,Prof-specialty,Not-in-family,White,Female,4650.0,0.0,40.0,<=50K
55.0,Private,9.0,Married-civ-spouse,Other-service,Wife,Black,Female,2407.0,-2529.958676494595,35.0,<=50K
46.0,Private,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1977.0,40.0,>50K
34.0,Private,11.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,45.0,>50K
40.0,,13.0,Widowed,,Not-in-family,White,Female,0.0,0.0,8.0,<=50K
50.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,<=50K
29.0,Private,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,38.0,<=50K
62.0,Private,5.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,<=50K
56.0,Private,4.850337402843396,Married-civ-spouse,Sales,Husband,White,Male,8071.934744296767,0.0,81.18929651443781,<=50K
40.0,Federal-gov,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,770.1938810007443,40.0,>50K
74.0,?,5.0,Married-civ-spouse,?,Husband,White,Male,3471.0,0.0,40.0,<=50K
21.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,62.063563858539325,<=50K
31.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,25.164230711842777,<=50K
36.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,>50K
36.0,Private,9.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24.0,<=50K
64.0,State-gov,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,>50K
32.0,Local-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,<=50K
55.0,Local-gov,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,<=50K
33.0,Private,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,1690.4321227503503,20.0,<=50K
52.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,1887.0,60.0,>50K
45.0,Self-emp-inc,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,50.0,>50K
47.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,<=50K
32.90491670475401,Private,13.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,24.474486354260176,<=50K
19.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,-1224.857497572516,30.0,<=50K
52.0,Private,14.0,Divorced,Prof-specialty,Unmarried,White,Male,15020.0,0.0,50.0,>50K
26.0,Private,13.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,<=50K
50.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,-4719.289447854838,0.0,40.0,<=50K
40.0,Private,12.0,Divorced,Transport-moving,Unmarried,White,Female,0.0,0.0,10.216489922203984,<=50K
45.0,Self-emp-not-inc,10.0,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0.0,50.0,<=50K
25.0,Private,9.0,Never-married,Other-service,Not-in-family,Black,Female,0.0,0.0,40.0,<=50K
37.0,Private,11.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,40.0,<=50K
49.0,Self-emp-not-inc,11.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,48.0,<=50K
