age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18.0,Private,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,20.0,<=50K
17.0,Private,,Never-married,Sales,Own-child,White,Female,-22599.145312207813,0.0,20.0,<=50K
25.0,Local-gov,9.0,Never-married,Handlers-cleaners,Other-relative,Black,Male,0.0,0.0,40.0,<=50K
20.0,Private,10.0,Never-married,Sales,Own-child,White,Female,-4327.98354786745,0.0,30.0,<=50K
0.0,Private,9.0,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0.0,47.0,56.0,<=50K
0.0,Private,13.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,33.0,40.0,<=50K
38.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,40.0,<=50K
21.0,Private,700.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,,<=50K
12.0,Private,43.0,Divorced,Prof-specialty,Not-in-family,White,Female,4650.0,,40.0,<=50K
55.0,Private,9.0,Married-civ-spouse,Other-service,Wife,Black,Female,2407.0,0.0,,<=50K
46.0,Private,13.0,Married-civ-spouse,40.0,Husband,White,Male,0.0,1977.0,Sales,>50K
34.0,Private,11.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,45.0,>50K
40.0,,1300.0,Widowed,,Not-in-family,White,Female,,0.0,,<=50K
50.0,Private,900.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,,<=50K
29.0,Private,10.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,38.0,<=50K
62.0,Private,500.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,<=50K
56.0,Private,7.0,Married-civ-spouse,Sales,Husband,White,Male,,0.0,55.0,<=50K
10.0,Federal-gov,40.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,9185.09105207755,1887.0,40.0,>50K
74.0,?,5.0,Married-civ-spouse,?,Husband,White,Male,3471.0,0.0,40.0,<=50K
135.88669943990342,Private,5.438429844668564,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,54.0,<=50K
31.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,30.0,<=50K
36.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,70.0,>50K
84.4118143998063,Private,9.0,Widowed,24.0,Unmarried,White,Female,-1026.0831568596802,0.0,Other-service,<=50K
64.0,State-gov,13.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,45.0,>50K
1242.3625031838185,Local-gov,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,<=50K
55.0,Local-gov,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,<=50K
33.0,Private,9.0,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,20.0,<=50K
1887.0,Self-emp-not-inc,900.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,52.0,60.0,>50K
-1228.782625099504,Self-emp-inc,13.0,Divorced,Exec-managerial,Unmarried,White,Male,0.0,0.0,50.0,>50K
47.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,<=50K
27.0,Private,13.0,Never-married,Exec-managerial,Own-child,White,Female,0.0,0.0,,<=50K
19.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,30.0,<=50K
52.0,Private,14.0,Divorced,Prof-specialty,Unmarried,White,Male,150200.0,0.0,50.0,>50K
26.0,Private,1300.0,Never-married,Tech-support,Not-in-family,White,Male,0.0,0.0,40.0,<=50K
50.0,Private,900.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,<=50K
0.0,Private,12.0,Divorced,Transport-moving,Unmarried,White,Female,400.0,0.0,40.0,<=50K
-3823.173599939937,Self-emp-not-inc,10.0,Never-married,Farming-fishing,Not-in-family,0.0,Male,0.0,White,50.0,<=50K
25.0,Private,9.0,Never-married,Other-service,Not-in-family,Black,Female,0.0,0.0,40.0,<=50K
37.0,Private,11.0,Never-married,Other-service,Not-in-family,White,Male,2725.3372162903343,0.0,40.0,<=50K
49.0,Self-emp-not-inc,11.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,48.0,<=50K
40.0,Private,,Never-married,45.0,Own-child,White,Female,0.0,0.0,Adm-clerical,<=50K
50.0,Private,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0.0,40.0,<=50K
22.0,Private,13.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,35.0,<=50K
-5957.253127756452,Private,13.0,Married-civ-spouse,Exec-managerial,Husband,0.0,Male,0.0,White,50.0,>50K
-1101.4806276135528,Private,12.0,Never-married,Prof-specialty,Own-child,Black,Male,0.0,0.0,20.0,<=50K
21.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,<=50K
0.0,State-gov,13.0,Married-civ-spouse,Protective-serv,Wife,Black,Female,12178.121410175234,0.0,48.0,<=50K
90.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,>50K
1316.2395440090445,Private,6.0,Widowed,Sales,Unmarried,Black,Female,0.0,,40.0,<=50K
60.0,Private,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,35.0,<=50K
28.0,Private,9.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,<=50K
65.0,Local-gov,1530.4892398011764,Divorced,Adm-clerical,Not-in-family,White,Female,,0.0,28.0,<=50K
19.0,Private,9.0,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Male,0.0,0.0,30.0,<=50K
0.0,Private,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,48.0,60.0,<=50K
54.0,Private,9.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,45.0,<=50K
0.0,Private,9.0,Never-married,Other-service,Own-child,White,Male,0.0,27.0,20.0,<=50K
66.0,Private,11.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,35.0,<=50K
35.0,Federal-gov,13.0,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Male,0.0,0.0,40.0,<=50K
25.0,Self-emp-not-inc,13.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,,<=50K
-2773.548424458953,Local-gov,1200.0,Never-married,Prof-specialty,Own-child,Black,Female,0.0,0.0,37.0,<=50K
0.0,Private,,Widowed,Machine-op-inspct,Unmarried,White,Female,0.0,60.0,40.0,<=50K
3452.564414073658,Private,17.61811204512872,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,<=50K
42.0,Private,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,<=50K
42.0,Private,1257.9497640552454,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,1590.0,40.0,<=50K
39.0,Private,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,>50K
310.0,Local-gov,10.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,>50K
34.0,Private,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,>50K
60.0,?,13.0,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0.0,2163.0,25.0,<=50K
44.0,Private,7.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,<=50K
65.0,Private,14.0,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,132115.98846879462,0.0,40.0,>50K
56.0,?,12.0,Married-civ-spouse,?,Husband,0.0,Male,0.0,White,20.0,<=50K
22.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,,0.0,40.0,<=50K
30.0,Self-emp-not-inc,11.0,Separated,Sales,Not-in-family,White,Male,0.0,0.0,40.0,<=50K
,Local-gov,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,45.0,<=50K
0.0,Private,10.0,Never-married,Farming-fishing,Own-child,White,Male,0.0,22.0,25.0,<=50K
