age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18,Private,9,Never-married,Other-service,Other-relative,White,Male,0,0,20,<=50K
17,Private,8,Never-married,Sales,Own-child,White,Male,0,0,20,<=50K
25,Local-gov,9,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,<=50K
20,Without-pay,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,30,<=50K
47,Private,9,Never-married,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Male,0,0,56,<=50K
33,Private,13,Separated,Craft-repair,Husband,Black,Female,0,0,40,<=50K
38,Private,9,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,40,<=50K
21,Private,7,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,40,<=50K
43,Private,12,Divorced,Prof-specialty,Not-in-family,White,Female,4650,0,40,<=50K
55,Private,9,Married-civ-spouse,Sales,Wife,Black,Male,2407,0,35,<=50K
46,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,>50K
34,Private,11,Married-civ-spouse,Protective-serv,Husband,Black,Male,0,0,45,>50K
40,,13,Widowed,,Not-in-family,White,Female,0,0,8,<=50K
50,Private,9,Married-civ-spouse,Armed-Forces,Husband,White,Male,0,0,40,<=50K
29,Private,10,Never-married,Craft-repair,Other-relative,White,Female,0,0,38,<=50K
62,Private,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
56,Without-pay,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,<=50K
40,Federal-gov,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1887,40,>50K
74,?,5,Separated,Tech-support,Husband,White,Male,3471,0,40,<=50K
21,Private,10,Married-civ-spouse,Armed-Forces,Husband,White,Female,0,0,54,<=50K
31,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,<=50K
36,Without-pay,14,Separated,Exec-managerial,Husband,White,Male,0,0,70,>50K
36,Without-pay,9,Widowed,Other-service,Husband,White,Female,0,0,24,<=50K
64,State-gov,13,Married-civ-spouse,Armed-Forces,Husband,White,Female,0,0,45,>50K
32,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,<=50K
55,Local-gov,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
33,Private,9,Separated,Prof-specialty,Unmarried,White,Male,0,0,20,<=50K
52,Federal-gov,9,Separated,Farming-fishing,Own-child,White,Female,0,1887,60,>50K
45,Self-emp-not-inc,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,>50K
47,Without-pay,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,<=50K
27,Private,13,Never-married,Exec-managerial,Own-child,White,Female,0,0,40,<=50K
19,Without-pay,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,30,<=50K
52,Without-pay,14,Divorced,Prof-specialty,Husband,White,Male,15020,0,50,>50K
26,Without-pay,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,<=50K
50,Private,9,Divorced,Adm-clerical,Other-relative,White,Female,0,0,40,<=50K
40,Private,12,Divorced,Transport-moving,Husband,White,Female,0,0,40,<=50K
45,Self-emp-not-inc,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,50,<=50K
25,Private,9,Never-married,Other-service,Other-relative,Black,Female,0,0,40,<=50K
37,Without-pay,11,Never-married,Sales,Not-in-family,White,Male,0,0,40,<=50K
49,Federal-gov,11,Divorced,Transport-moving,Not-in-family,White,Male,0,0,48,<=50K
40,Private,12,Never-married,Adm-clerical,Own-child,White,Female,0,0,45,<=50K
50,Private,13,Married-civ-spouse,Prof-specialty,Own-child,White,Female,0,0,40,<=50K
22,Private,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,35,<=50K
38,Private,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,>50K
24,Private,12,Never-married,Priv-house-serv,Own-child,Black,Male,0,0,20,<=50K
21,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,40,<=50K
27,State-gov,13,Married-civ-spouse,Craft-repair,Unmarried,Black,Male,0,0,48,<=50K
90,Private,9,Never-married,Adm-clerical,Other-relative,White,Female,0,0,40,>50K
52,Private,6,Widowed,Sales,Unmarried,Black,Female,0,0,40,<=50K
60,Without-pay,9,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,35,<=50K
28,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,<=50K
65,Local-gov,10,Divorced,Protective-serv,Not-in-family,White,Female,0,0,28,<=50K
19,Without-pay,9,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,30,<=50K
48,Without-pay,10,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,60,<=50K
54,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,45,<=50K
27,Private,9,Never-married,Other-service,Own-child,White,Male,0,0,20,<=50K
66,Without-pay,11,Widowed,Priv-house-serv,Not-in-family,White,Female,0,0,35,<=50K
35,Federal-gov,13,Married-spouse-absent,Exec-managerial,Not-in-family,Black,Female,0,0,40,<=50K
25,Self-emp-not-inc,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,30,<=50K
27,Local-gov,12,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,37,<=50K
60,Private,9,Married-AF-spouse,Machine-op-inspct,Husband,White,Female,0,0,40,<=50K
37,Private,11,Married-civ-spouse,Armed-Forces,Own-child,White,Male,0,0,40,<=50K
42,Private,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,<=50K
42,Private,10,Divorced,Machine-op-inspct,Other-relative,White,Male,0,1590,40,<=50K
