age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,income
18,Private,9,Never-married,Other-service,Not-in-family,White,Male,0,0,20,<=50K
17,Private,8,Never-married,Sales,Own-child,White,Female,0,0,20,<=50K
25,Local-gov,9,Never-married,Handlers-cleaners,Other-relative,Black,Male,0,0,40,<=50K
20,Private,10,Never-married,Sales,Own-child,White,Female,0,0,30,<=50K
47,Private,9,Never-married,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,0,0,56,<=50K
33,Private,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,<=50K
38,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
21,Private,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
43,Prvate,12,Divored,Prof-specialy,Not-i-family,hite,Feale,4650,0,40,<=5K
55,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,2407,0,35,<=50K
46,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,>50K
34,Private,11,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,45,>50K
40,an,13,Widowd,nn,Not-in-fmily,Whit,Feale,0,0,8,=50K
50,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,<=50K
29,Pivate,10,Never-marrie,Crft-repair,Not-i-family,Whit,Mae,0,0,38,<50K
62,Private,5,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,<=50K
56,Private,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,<=50K
40,Fderal-gov,10,Married-civ-souse,Am-clerical,Husbad,Whie,ale,0,1887,40,50K
74,?,5,Married-civ-spouse,?,Husband,White,Male,3471,0,40,<=50K
21,Prvate,10,Married-civ-spoue,Crft-repair,Husand,hite,Mle,0,0,54,<50K
31,Private,9,Divorced,Other-service,Unmarried,White,Female,0,0,30,<=50K
36,Private,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,>50K
36,Private,9,Widowed,Other-service,Unmarried,White,Female,0,0,24,<=50K
64,Sate-gov,13,Married-cv-spouse,Crat-repair,usband,Whte,Mae,0,0,45,>0K
32,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,50,<=50K
55,Local-gov,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,<=50K
33,Privte,9,Marriedciv-spouse,Sals,ife,Whte,Fmale,0,0,20,<50K
52,Self-emp-not-inc,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,1887,60,>50K
45,Self-emp-inc,13,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,>50K
47,Privae,10,Marriedciv-spouse,Adm-clerial,Wie,Whit,Fmale,0,0,40,<50K
